title,videoIDS,video_description,publishedDate,likes,dislikes,views,comment
Mechanism of Chemical Denaturation,0e0VfsgMFNw,,2019-05-09T07:01:52Z,8,0,1339,0
Protein Folding : The Chevron-Plot,0oQtn1cysAU,,2019-05-09T07:26:57Z,7,0,2217,1
Protein Folding : Mechanisms and Kinetics (Contd..),1-PdTIXBBaM,,2019-05-09T07:25:22Z,21,0,3201,0
Protein Folding : Mechanisms and Kinetics,4uU0LxQ9nMo,,2019-05-09T07:21:19Z,3,2,928,0
Thermodynamics of Protein Unfolding (Contd.),8HCZ-fkn99I,,2019-05-09T07:00:30Z,10,2,1966,1
Diffusion (Contd..),9LFSNIQbPnc,,2019-05-09T07:12:19Z,5,0,962,1
Infrared Spectroscopy of Proteins,9iaFzCUg1p4,,2019-05-09T07:47:27Z,17,1,2463,0
Spectroscopy : The Franck Condon Principle (Contd.),HGIrL3IQ8kY,,2019-05-09T07:40:00Z,8,1,1052,3
Protein Folding : Mechanisms and Kinetics (Contd.),Ph5OqahgmuA,,2019-05-09T07:23:35Z,18,0,2182,1
Hydrogen Bonding,TQ_kysGk84Q,,2019-05-09T06:55:00Z,7,1,1329,0
Langevin Equation and Brownian Motion,VBaah8drgVA,,2019-05-09T07:14:05Z,18,2,2515,3
Spectroscopy : The Franck Condon Principle,bW0eG3C_RSs,,2019-05-09T07:37:56Z,40,2,3880,3
Electrostatics (Contd..),cQh4O3rdhTQ,,2019-05-09T06:43:32Z,13,0,1415,0
Protein Stability Curves,ehudj-OvfTM,,2019-05-09T06:56:54Z,7,0,1459,0
Protein Folding Kinetics : Rapid Mixing and Relaxation Techniques (Contd..),kcJX7ZlE_hA,,2019-05-09T07:32:28Z,9,0,1500,1
Diffusion,pntBNnU82tc,,2019-05-09T07:07:08Z,9,0,1540,0
Protein Folding Kinetics : Rapid Mixing and Relaxation Techniques,somc1nvGwJs,,2019-05-09T07:29:03Z,6,0,833,0
Langevin Equation and Brownian Motion (Contd..),-ccG4YKSSbw,,2019-05-09T07:19:27Z,3,0,751,0
Electronic Spectroscopy Absorption and Fluorescence,4LzP7AZ-KW0,,2019-05-09T07:41:31Z,17,0,1089,1
Fluorescence Quenching,ExGQnRw75lA,,2019-05-09T07:45:21Z,52,1,2499,3
Thermodynamics of Protein Unfolding,F-EHekcXxc8,,2019-05-09T06:58:56Z,7,0,1074,0
Infrared Spectroscopy of Proteins (Contd.),Kp4Say8-cWs,,2019-05-09T07:49:12Z,6,1,1202,0
Experimental Tools,VjcgmXq3scY,,2019-05-09T07:35:48Z,6,3,1147,0
Diffusion (Contd.),Ys_7pgSdz88,,2019-05-09T07:09:35Z,2,1,712,0
Langevin Equation and Brownian Motion (Contd.),bdnYEB3ByO8,,2019-05-09T07:16:42Z,3,0,1141,0
Protein Folding Pathways and Energy Landscapes,uCQOX42H1Ak,,2019-05-09T07:05:42Z,32,4,2884,2
Hydrophobic Effect (Contd.),5sdo-zh43wA,,2019-05-09T06:53:21Z,12,0,1418,0
Electrostatics (Contd.),EOSwxYfd2MU,,2019-05-09T06:36:16Z,15,0,1920,3
Secondary Structure of Proteins,PC8C8G1E6N8,,2019-05-09T06:27:07Z,11,1,1559,1
Intermolecular Interactions,UtFJXM23-HE,,2019-05-09T06:38:22Z,8,0,905,0
Dipole-Dipole Interaction,_Jt_0ZyU9I4,,2019-05-09T06:40:49Z,9,0,917,1
Forces in Protein Folding,beNAzYn6fKE,,2019-05-09T06:33:01Z,7,0,1520,1
Protein Structure,cdn_3hMok2Q,,2019-05-09T06:25:23Z,22,0,2632,3
Forces in Protein Folding (Contd.),ezlq5srPp54,,2019-05-09T06:34:11Z,51,3,5601,1
Secondary Structure of Proteins (Contd.),mVfh2U9x3Yc,,2019-05-09T06:29:25Z,18,0,1623,1
Tertiary Structure,mkwxeXTBT20,,2019-05-09T06:31:31Z,9,0,944,0
Hydrophobic Effect,qzLZHm4PcfE,,2019-05-09T06:51:31Z,16,0,1564,0
A Course on Bio-physical Chemistry,ydCI3rUzjdU,,2019-05-09T06:23:17Z,58,1,6923,2
NPTEL Story - 28Feb2019,6OV7aZSW-1w,,2019-03-28T12:35:11Z,198,11,6613,23
NPTEL : NOC Multiple Course Taker Feedback,tYnK4yAW6yA,"Feedback of Ms.ROOHI MEHTA (Faculty, THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY) who had  completed 6 NPTEL Certifications.",2019-03-04T11:08:45Z,252,45,26075,26
NPTEL : NOC Multiple Course Taker Feedback,vrwSHDtA8Hc,"Feedback of Mr.Dr. SAAD ULLAH KHAN (Faculty, MANIPAL UNIVERSITY ) who had  completed 6 NPTEL Certifications.",2019-03-01T14:00:40Z,25,9,3869,2
NPTEL : NOC Multiple Course Taker Feedback,h8y2LB3sQvA,"Feedback of Mr.AMAN VERMA (Student, KRISHNA INSTITUTE OF TECHNOLOGY) who had  completed 5 NPTEL Certifications.",2019-02-28T12:16:35Z,11,6,2142,3
NPTEL : NOC Multiple Course Taker Feedback,7vUtjDYNEuQ,"Feedback of Mr.ARKADIPTA DE (Student, GOVT. COLLEGE OF ENGINEERING & TEXTILE TECHNOLOGY) who had  completed 6 NPTEL Certifications.",2019-02-28T12:16:44Z,19,3,2007,1
NPTEL : NOC Multiple Course Taker Feedback,n0XoBr93ruA,"Feedback of Mr.ANUJ SAHU (Student, ABES ENGINEERING COLLEGE) who had  completed 5 NPTEL Certifications.",2019-02-28T12:17:23Z,21,1,1170,2
NPTEL : NOC Multiple Course Taker Feedback,_3qrsOF4B-4,"Feedback of Mr.JITENDER KUMAR , ZILLION INFRA PROJECTS PVT LIMITED who had  completed 5 NPTEL Certifications.",2019-02-28T12:17:55Z,23,2,1194,0
NPTEL : NOC Multiple Course Taker Feedback,VRrzRQtjRuQ,"Feedback of Mr.N.V.MANJUNATH (Faculty, BANNARI AMMAN INSTITUTE OF TECHNOLOGY) who had  completed 3 NPTEL Certifications.",2019-02-28T12:18:05Z,21,0,1243,1
NPTEL : NOC Multiple Course Taker Feedback,Ia3FRSfrDeg,"Feedback of Mr.PRABUSANKAR.R (Faculty, SRI KRISHNA COLLEGE OF TECHNOLOGY) who had  completed 10 NPTEL Certifications.",2019-02-28T12:18:42Z,5,0,615,2
NPTEL : NOC Multiple Course Taker Feedback,HnAzc0yKHos,"Feedback of Mr.PRAJIT T R (Student, M S RAMAIAH INSTITUTE OF TECHNOLOGY) who had  completed 13 NPTEL Certifications.",2019-02-28T12:18:49Z,4,1,779,0
NPTEL : NOC Multiple Course Taker Feedback,nLTFaePy4h4,"Feedback of Mr. CHIGICHERLA VENKATA SAI PRASANNA (Student, JJNTUA College of Engineering) who had  completed 6 NPTEL Certifications.",2019-02-28T12:20:40Z,58,3,2438,4
NPTEL : NOC Multiple Course Taker Feedback,5RtVYOp8qZs,"Feedback of Mr. SALAHUDDEN (Student, Indian Institute of Technology Kanpur) who had  completed 9 NPTEL Certifications.",2019-02-28T12:25:51Z,34,6,3613,1
NPTEL : NOC Multiple Course Taker Feedback,ZMoo5-0I7Lw,"Feedback of Ms.MITALI VEDANTI (Faculty, CHAROTAR UNIVERSITY OF SCIENCE AND TECHNOLOGY) who had  completed 5 NPTEL Certifications.",2019-02-27T12:16:35Z,27,0,1754,3
NPTEL : NOC Multiple Course Taker Feedback,ezkt-PZ8glE,"Feedback of Ms.AMUDHA G (Faculty, RMD ENGINEERING COLLEGE) who had  completed 5 NPTEL Certifications.",2019-02-27T11:05:22Z,19,0,1528,1
NPTEL : NOC Multiple Course Taker Feedback,dwXcgV7ARnA,"Feedback of Mr.BRIJESH KUMAR  (Student,  B N COLLEGE OF ENGINEERING AND TECHNOLOGYl ) who had  completed 12 NPTEL Certifications.",2019-02-27T10:57:05Z,23,0,757,3
NPTEL : NOC Multiple Course Taker Feedback,pYah-XGQiCE,"Feedback of Ms.N KUMUTHA (Faculty, THIAGARAJAR COLLEGE OF ENGINEERING) who had  completed 6 NPTEL Certifications.",2019-02-27T10:46:17Z,3,0,535,0
NPTEL : NOC Multiple Course Taker Feedback,5-Gyi81OQpw,"Feedback of Mr.HANNAN SATOPAY  (Student,  VIDYALANKAR INSTITUTE OF TECHNOLOGY ) who had  completed 6 NPTEL Certifications.",2019-02-27T09:51:03Z,29,3,1968,2
NPTEL : NOC  Course Taker Feedback,2WbNu-bSgsg,"Feedback of Mr. AMITBODH UPADHYAYA (Faculty, LAKSHMI NARAIN COLLEGE OF TECHNOLOGY & SCIENCE )",2019-02-27T09:50:59Z,20,3,1016,1
NPTEL : NOC Multiple Course Taker Feedback,91w3UkRUwWs,"Feedback of Mr.MOHINI PRASAD MISHRA (Faculty, GANDHI ENGINEERING COLLEGE ) who had  completed 7 NPTEL Certifications.",2019-02-27T09:50:29Z,15,23,1090,1
NPTEL : NOC Multiple Course Taker Feedback,p9ZdFkDQzQs,"Feedback of Mr. PANKAJ KUMAR RAWAT (Faculty, GCRG MEMORIAL TRUST GROUP OF INSTITUTION ) who had  completed  9 NPTEL Certifications.",2019-02-14T11:51:24Z,77,6,4518,18
NPTEL : NOC Multiple Course Taker Feedback,5itFb4FhVJo,"Feedback of Ms. SHREYASI DATTA  (Faculty, INSTITUTE OF ENGINEERING & MANAGEMENT) who had  completed 5  NPTEL Certifications.",2019-02-14T11:28:46Z,18,2,1750,1
NPTEL : NOC Multiple Course Taker Feedback,Nnun9fWXGS8,"Feedback of Mr.SEERA SAI SANTOSH KUMAR (Student, MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING) who had  completed 6 NPTEL Certifications.",2019-02-14T11:19:18Z,42,3,1912,3
NPTEL : NOC Multiple Course Taker Feedback,wNTMIjpMWxs,"Feedback of Mr. CHANDRAMOHAN G(Faculty, PSG INSTITUTE OF TECHNOLOGY) who had  completed 5 NPTEL Certifications.",2019-02-14T10:48:17Z,19,2,1157,1
NPTEL : NOC Multiple Course Taker Feedback,Frci3p4ko8Q,"Feedback of Mr.BURRA KARUNA KUMAR
(Faculty, GUDLAVALLERU ENGINEERING COLLEGE
) who had  completed 7 NPTEL Certifications.",2019-02-14T09:26:03Z,60,4,2893,8
NPTEL:NOC Multiple  Course Takers Feedback,BqZi_yCkPrw,"Feedback of Ms.K. PUNITHAVALLI  (Student,  KONGU ARTS AND SCIENCE COLLEGE, ERODE) who had  completed 17 NPTEL Certifications.",2019-02-13T11:59:02Z,66,7,4022,5
NPTEL:NOC Multiple  Course Takers Feedback,mcsugLchtsE,"Feedback of Mr.S NISHANTH  (Student, SRI RAMAKRISHNA ENGINEERING COLLEGE, COIMBATORE) who had  completed 16 NPTEL Certifications.",2019-02-13T09:34:30Z,50,7,3415,11
NPTEL : NOC Multiple Course Taker Feedback,DfaLjO7rnwg,"Feedback of Ms.ZEBA MUNIB (Pharmacist, Jamia Millia Islamia
Hospital) who had  completed 9 NPTEL Certifications.",2019-02-12T13:41:35Z,70,22,5220,14
NPTEL: NOC Maximum Course Taker's Feedback,6F9vwPbufU8,"Feedback of Mr.Vignesh Adithya (Student,  KONGUNADU COLLEGE OF ENGG AND TECHNOLOGY) who had  completed 25 NPTEL Certifications.",2019-02-08T09:45:31Z,115,11,7206,53
Catalytic Effects Reactions in Emulsions Complex Formation,2wLJ385qu3I,,2018-12-03T05:00:07Z,3,0,542,1
Diffusion Potential Surface and Interfacial Potentials Components of Contact Potential,7gYvrYJpY1Q,,2018-12-03T04:44:54Z,4,0,645,0
Properties over Curved Surfaces,9J-ONF4T2tE,,2018-12-03T04:24:43Z,7,0,1362,0
"Surface and Interfacial Tensions: Wilhelmy Plate, Pendant Drop and Maximum Bubble Pressure Methods",9p75OPe-A9Y,,2018-12-03T04:39:26Z,9,0,683,0
Total Surface Energy,B-Kh-1zq9M4,,2018-12-03T04:26:09Z,7,1,931,1
General Introduction Definitions,C-eUvgb8q4U,,2018-12-03T04:21:11Z,35,2,5774,2
"Surface waves and Ripples, Velocity Effect of Surface Tension and Surface Compressional Modulus Rate",CH1KCwB_mqg,,2018-12-03T04:53:57Z,15,0,1475,0
Electrically Charged Monolayers Gouy Theory,CuMHYrgJp4w,,2018-12-03T04:46:11Z,9,0,2425,0
Evaporation and its Retardation Resistances and their Analysis Diffusional Resistance in Gas Phase,EuY_M8IUG1c,,2018-12-03T05:03:58Z,3,0,380,1
"Shear Elastic Moduli,Yield Stress Fibres from MLs, Surface Reactions",G8nxEkkKutI,,2018-12-03T04:56:26Z,4,0,494,0
Magnitudes of Surface Compressional Moduli Surface Waves and Ripples,IR3Vyt5xsVk,,2018-12-03T04:52:36Z,8,0,1093,1
"Colloida, Aerosols, Emulsions Foams, Coagulation Smoluchowski\\\'s Theory",NIK0iBEPnfg,,2018-12-03T05:07:55Z,9,0,1121,0
"Spreading, Interfacial Tensions, Surface Tensions",NxWR0SjR9fU,,2018-12-03T04:31:36Z,22,4,4123,0
Introductory Concepts Resistances and their Magnitudes Evaporation and its Retardation,P98am3OX2dA,,2018-12-03T05:02:34Z,4,1,661,0
"General Introduction, Definitions, Surface Tension",Pj_Pbc5d0x0,,2018-12-03T04:22:23Z,8,0,1966,2
"Cohesion, Adhesion and Spreading",PzCKPSScv6Y,,2018-12-03T04:28:56Z,6,1,965,0
"Surface Reactions, Comparison with Bulk-Phase Reactions Steric Factors, Inhibition",Q01zDz8V71g,,2018-12-03T04:57:56Z,12,3,1312,1
Canal Method Joly\'s Semi-Empirical Correction Rotational Torsional Surface Viscometer Compressional,Q2QRC8kJ6uY,,2018-12-03T04:51:09Z,66,5,11278,2
"Wetting Balance Method Spreading Coefficient Work of Adhesion Sessile Drop Method , Positive S",T3yOkRkDX9Y,,2018-12-03T04:40:48Z,6,2,936,0
"Spreading, Contact Angles Free Energies",Tlo7truxUi8,,2018-12-03T04:32:49Z,7,0,592,0
Spreading from Liquids and Solids,VbS13NPizvA,,2018-12-03T04:30:12Z,6,0,822,0
Surface Instability Theories of Mass Transfer Experiments on static and Dynamic Systems,_3maLOkeISQ,,2018-12-03T05:06:40Z,2,0,459,0
"Films of Polymers Molecular Weight, Surface Viscosity Drag, Canal Method",ax2B7QcMa9Y,,2018-12-03T04:49:38Z,9,2,1574,0
"Interfacial Tension Entropy, Cohesion, Adhesion",cXqI8-p_DjM,,2018-12-03T04:27:29Z,6,0,658,0
Surface and Interfacial Potentials Distribution and Contact Potentials,cYfw9G5kDlU,,2018-12-03T04:43:53Z,3,0,477,1
"Spreading / Contact Angles Rough Surfaces, Free Energies",fg2b1w6zICE,,2018-12-03T04:34:21Z,11,0,995,1
Surface Tension Free Energies and Adsorption,hqSh_NxwYyw,,2018-12-03T04:23:27Z,11,2,1511,0
"surface waves and ripples,velocity effect of surface tension and surface compressional modulus dampi",j9vPv_WsXtw,,2018-12-03T04:55:23Z,14,2,2653,0
Hydrolyses of Esters by Alkali Acid or Enzyme Photochemical Reactions in Monolayers Polymerization i,k0TpHD_TzJo,,2018-12-03T04:59:09Z,4,1,779,0
"Equations of State, Cohesion Repulsion, Limiting Area",nZP9PvkdwD0,,2018-12-03T04:47:10Z,5,0,882,0
"Spreading / Contact Angles Work of Adhesion, De-wetting",pAY-sfMs2h4,,2018-12-03T04:35:47Z,38,0,5736,3
Surface and Interfacial Tensions: Drop Weight and Wilhelmy Plate Methods,ptqswWPCCSU,,2018-12-03T04:38:16Z,9,0,1007,2
"Resistances in Liquid Phase and Interface and Their Importance Some Effects and Applications, Theory",q5dAaL5edBg,,2018-12-03T05:05:21Z,14,0,1564,0
Condensed and Liquid Expanded Monolayers Phase Transformations,qXJpEgq21u4,,2018-12-03T04:48:22Z,9,1,1070,0
"Indirect and Direct Methods for Positive S, Adhesion Energies Interfacial Potentials",vxEkPpPTMeI,,2018-12-03T04:42:19Z,15,2,1214,1
Complex Formation Penetration into Monolayers Thermodynamics of Penetration Adsorption from Vapour P,x1zzFBdfPh0,,2018-12-03T05:01:11Z,0,0,702,1
"Work of Adhesion, Surface and Interfacial Tensions",z3zpzwC4g9I,,2018-12-03T04:37:00Z,6,0,774,0
Wave Propagation : Surface Impedance; Power Loss in a Conductor Reflection at a Perfect conductor,-xOq-WxXOgg,97,2018-11-16T04:29:01Z,8,1,750,0
"Wave Propagation: Polarisation,Poynting Vector",0Xmkm8LjJNw,,2018-11-16T04:24:25Z,10,0,843,0
Wave Guides (Contd.),4MzJAW4Bx7Q,,2018-11-16T04:40:27Z,2,0,366,0
ransmission Lines : Travelling Waves (cont.);Sinusoidal Signals;Impedence Transformation,5bZo395ejKA,,2018-11-16T04:12:32Z,3,0,764,2
Transmission Lines : Standing Wave Ratio:Measurement of Impedence,6X5m4biKCF8,,2018-11-16T04:13:22Z,10,0,969,0
Radiation(contd.)Monopole Antennas half Wave Dipole Antenna,7ayRUdhkF7c,,2018-11-16T05:03:06Z,20,1,1461,4
Transmission Lines Section as Circuit Elements,8UNVc9xZL04,,2018-11-16T04:16:18Z,5,0,818,0
Transmission Lines : Impedance Matching using Stub- Lines,9E4_vazlHtE,,2018-11-16T04:18:46Z,7,0,647,0
Wave Propagation,9xcp_dQgXtA,,2018-11-16T04:21:29Z,6,0,972,0
Transmission Lines : Smith Chart,9ypQWh0mD4E,,2018-11-16T04:17:49Z,6,0,1142,0
Reflection and Refraction of waves (Contd.)-1,Bk7c_PUTTnk,,2018-11-16T04:33:35Z,5,1,522,0
Radiation(contd.),ELdNVxCqadc,,2018-11-16T05:04:35Z,10,0,1215,0
Wave Guides(Contd.)Rectangular Wave Guides-1,GaZXEkANQVw,,2018-11-16T04:49:18Z,23,1,1957,2
Radiation(contd.),Ifac2n8CUP4,,2018-11-16T04:58:25Z,15,0,1024,1
Resonators(Contd.)Wave Guide Resonators,Lyo9Xy91gls,,2018-11-16T04:53:46Z,5,0,492,0
Introduction,NDpWewMZYQQ,,2018-11-16T04:09:41Z,57,0,5213,6
"Wave Guides(Contd.) Parallel plane Guide,Characteristics of TE & Tm Waves,TEM Waves,Wave Impedances",NvYaDesKu60,,2018-11-16T04:41:52Z,4,0,783,0
Wave Guides(Contd.)-2,RJL4Rm7BhvA,,2018-11-16T04:44:49Z,10,1,956,2
Radiation,RqYL2JL1X44,,2018-11-16T04:55:27Z,11,2,1351,2
Wave Guides(Contd.)-1,TRE9MGjRWtU,,2018-11-16T04:43:25Z,1,0,260,0
"Reflection and Refraction of waves : Reflection at the Surface of a Conducting Medium,Reflection at",TgEeJ1ZZDeM,,2018-11-16T04:30:29Z,59,3,12037,6
Wave Guides(Contd.),VO0wINjTACI,,2018-11-16T04:47:50Z,4,0,403,0
"Radiation(contd.)2-Element Arrays,Yagi-Uda Array",W-a5z8K9pcY,,2018-11-16T05:06:11Z,3,0,430,0
"Wave Propagation: Power Flow,Complex Poynting vector,wave equation for a conducting Medium",W0GBnT348c4,,2018-11-16T04:25:56Z,14,0,1719,2
Reflection and Refraction of waves (Contd.);Transmission Line Analogy for Planes Waves,Z1ceutoAcVM,,2018-11-16T04:36:25Z,27,1,3268,1
Transmission Lines : Transmission Lines Parameters;(primary Constants),aNho0byJffU,,2018-11-16T04:20:09Z,13,1,1348,0
Radiation(contd.)-2,cu95p2ovIoc,,2018-11-16T05:01:36Z,2,0,425,0
Wave Propagation : Conducting Medium;Conductors & Dielectrics Depth of Penetration;Surface Impedance,gk0oGxhmAcA,,2018-11-16T04:27:34Z,5,0,626,2
"Transmission Lines : Reflection,Transmission;Travelling Waves",h6heKQO0lvI,,2018-11-16T04:11:33Z,35,3,2594,3
Resonators General Properties,i0SZAOiZQ0w,,2018-11-16T04:50:40Z,8,0,684,0
Wave Guides,i18S33e0QSU,,2018-11-16T04:37:42Z,10,0,1494,2
Transmission Lines : Wave Propagation,iXWTrmRYKFE,,2018-11-16T04:10:34Z,30,1,2592,1
Resonators(Contd.)Transmission Line Resonators,kf5GWcPBSgc,,2018-11-16T04:52:09Z,31,3,2164,3
"Transmission Lines : General Transmission Lines Equations,Low loss,Transmission Lines,Transmission L",o-rOX4vtboA,,2018-11-16T04:15:20Z,8,0,772,0
Reflection and Refraction of waves (Contd.),oCvAAciheFM,,2018-11-16T04:31:58Z,17,1,1922,0
"Wave Guides(Contd.) Parallel plane Guide,Transverse Electric Waves,Field Distribution,Superposition",q9SZqxIRRuY,,2018-11-16T04:39:07Z,5,0,572,2
Wave Propagation (contd.),uf2gLV8QYjg,,2018-11-16T04:22:59Z,11,0,729,0
Reflection and Refraction of waves (Contd.);The Plane slab,v4Abmy0uaQ0,,2018-11-16T04:34:54Z,5,1,541,0
Wave Guides(Contd.)Rectangular Wave Guides,vWS7Oxtk0AI,,2018-11-16T04:46:26Z,2,0,481,0
Radiation(contd.)-1,xhWe-kBXnXc,,2018-11-16T05:00:01Z,3,0,260,1
"Transmission Lines : Velocities of Propagation,Transmission Lines Charts",zCmBdUkT_Zk,,2018-11-16T04:16:59Z,10,0,1572,1
SPOC Workshop 2018  IIT Kharagpur,Z4CRTbc8PuQ,"NPTEL is an acronym for National Programme on Technology Enhanced Learning which is an initiative by seven Indian Institutes of Technology (IIT Bombay, Delhi, Guwahati, Kanpur, Kharagpur, Madras and Roorkee) and Indian Institute of Science (IISc) for creating course contents in engineering and science.",2018-09-04T12:19:59Z,204,13,15666,12
NPTEL SPOC Workshop 2nd August - IIT Bombay,nB7pCCAZNBg,,2018-08-09T11:47:24Z,326,16,24290,23
SPOC Workshop 2018 - IIT Kanpur,AQy3ahM3Jn0,"SPOC Felicitation held at IIT Kanpur Outreach Centre, NOIDA on July 21, 2018",2018-08-07T03:47:59Z,148,10,11403,7
lec40,ZxN2X2WQqCY,,2018-07-31T10:56:33Z,219,9,15083,8
Mod-12 Lec-04 DC Model of a Large MOSFET: Surface Potential and VT Based Solutions of IDS,0nu65r1Xe8Y,,2018-07-27T10:38:28Z,55,4,5128,3
Mod-12 Lec-03 DC Model of a Large MOSFET: Surface Potential and VT Based Solutions of IDS,6dfry--m4C0,"Dc Model Of a Large Uniformly Doped Bulk MOSFET: Surface Potential and Threshold Based Solutions of I DS (V GB, V DB, V SB)",2018-07-27T10:42:34Z,21,1,4370,1
Mod-12 Lec-01 DC Model of a Large MOSFET: Surface Potential and VT Based Solutions of IDS,BXV1MiFuaug,,2018-07-27T10:52:48Z,8,1,2718,1
"Mod-11 Lec-01 DC Model of a Large MOSFET: Eqns, Boundary Condns, Approximations",GvtiA-mWE3U,Mod-11 Lec-47,2018-07-27T10:56:44Z,72,5,12373,3
Mod-12 Lec-02 DC Model of a Large MOSFET: Surface Potential and VT Based Solutions of IDS,HcXXKSpdvuI,,2018-07-27T10:47:54Z,36,0,3477,2
"Mod-13 Lec-01 DC Model of a Large MOSFET: Testing, Improvement and Parameter Extraction",L-WJWRvf9co,,2018-07-27T09:59:04Z,16,0,2509,2
"Mod-13 Lec-02 DC Model of a Large MOSFET: Testing, Improvement and Parameter Extraction",MUNGV4ESVA4,,2018-07-27T09:51:33Z,13,0,2322,1
Mod-12 Lec-06 DC Model of a Large MOSFET: Surface Potential and VT Based Solutions of IDS,fMxdUfStWrY,,2018-07-27T10:26:22Z,19,0,3821,2
Mod-12 Lec-05 DC Model of a Large MOSFET: Surface Potential and VT Based Solutions of IDS,xsKW2Min3Is,,2018-07-27T10:33:11Z,19,1,3175,1
"Mod-14 Lec-01 DC Model of a Bulk MOSFET: Series R, non-uniform doping and small size effects",fUWLggdLkHk,,2018-07-27T09:39:30Z,101,1,15235,2
"Mod-14 Lec-02 DC Model of a Bulk MOSFET: Series R, non-uniform doping and small size effects",OyVJUAkvU2o,,2018-07-27T09:35:43Z,22,2,3805,3
SPOC Workshop on 14th July 2018,LIt9Q-P_2P8,"NPTEL Workshop for SPOCs (South Zone) - July 14, 2018

This workshop is meant for those SPOCs who belong to colleges in the South Zone (Andhra Pradesh, Karnataka, Kerala, Tamil Nadu, Telangana and Pondicherry). Similar workshops will be held for colleges in the other zones as well. 

NPTEL and the host Institute will jointly organize the workshop. The host college will invite 2-3 faculty members from colleges (both Engineering Institutions and Arts and Science colleges) that are within a radius of 150 km.

Expected outcome: The faculty are aware of NPTEL and how it can be used and can take it back to the Heads of their institutions for implementation in the best way to benefit their students. These members can also have a session with their students, where they can explain about NPTEL to them.",2018-07-20T12:14:22Z,170,7,8220,14
Mod-09 Lec-41 Value of Information,aJtiwRDWStU,"Operations and Supply Chain Management by Prof. G. Srinivasan , Department of Management Studies, IIT Madras. For more details on NPTEL visit http://nptel.iitm.ac.in",2012-11-05T09:08:54Z,89,6,7575,5
NPTEL - Knowledge is FREE,wJOESS9VSzw,"NPTEL is an acronym for National Programme on Technology Enhanced Learning which is an initiative by seven Indian Institutes of Technology (IIT Bombay, Delhi, Guwahati, Kanpur, Kharagpur, Madras and Roorkee) and Indian Institute of Science (IISc) for creating course
contents in engineering and science.

NPTEL as a project originated from many deliberations between IITs, Indian Institutes of Management (IIMs) and Carnegie Mellon University (CMU) during the years 1999-2003. A proposal was jointly put forward by five IITs (Bombay, Delhi, Kanpur, Kharagpur and Madras) and IISc for creating contents for 100 courses as web based supplements and 100 complete video courses, for forty hours of duration per course. Web supplements were expected to cover
materials that could be delivered in approximately forty hours. Five engineering branches (Civil, Computer Science, Electrical, Electronics and Communication and Mechanical) and core science programmes that all engineering students are required to take in their undergraduate engineering programme in India were chosen initially. Contents for the above courses were based on the model curriculum suggested by All India Council for Technical Education (AICTE) and the syllabi of major affiliating Universities in India.",2018-04-19T06:45:37Z,1682,44,374212,151
NPTEL awareness workshop on Outcome Based Education-IISc Bangalore,ONel_pP5_QA,,2018-04-09T10:27:58Z,116,12,10607,10
"IBM Workshop on 29th March 2018 - Prof. B.Ravindran, IIT Madras",0i4KL4l0h-Q,"Workshop on ""Robotic Behavior Driven By Machine Learning""
Venue : IIT Madras",2018-04-05T04:07:02Z,117,11,11587,5
"IBM Workshop on 29th March 2018 - Prof. Sudharshan, IIT Ropar",esVois0s3qg,"Workshop on ""Robotic Behavior Driven By Machine Learning""
Venue : IIT Madras",2018-04-05T04:08:12Z,80,3,7861,4
"NPTEL : NOC Exam Feedback : IIT Kharagpur, Oct 2017",LlLT0jyX-s0,"City & State :  Kharagpur , West Bengal

Exam Date : 22-10-2017",2018-02-19T04:18:40Z,117,19,12384,35
"IIT Bombay SPOC Workshop Jan 12, 2018 Part 3",SvCpzPKs43E,,2018-02-07T11:56:27Z,40,3,4489,2
"IIT Bombay SPOC Workshop Jan 12, 2018 Part 1",muItMXa-GHs,,2018-02-07T11:46:46Z,135,3,9723,11
"IIT Bombay SPOC Workshop Jan 12, 2018 Part 2",oJZn8jAvPoE,,2018-02-07T11:51:51Z,84,8,8755,5
Lecture 20 - Synchronous Machine Modeling. Short Circuit Analysis (Contd.),iSJ-BZhLGBo,,2018-01-02T06:38:24Z,68,9,9239,3
NOC feedback oct 2017 kk Part 1,a0VClwYE41s,,2017-12-22T13:21:59Z,24,4,4013,2
"NPTEL : NOC Exam Feedback : Sree Narayana Mangalam Institute of Management and Technology, Oct 2017",lA1Kh0kPN9E,"City & State : Ernakulam, Kerala 

Exam Date : 22-10-2017",2017-10-31T09:15:24Z,8,4,2225,2
"NPTEL : NOC Exam Feedback : Ion Digital Zone, KIOT Campus, Oct 2017",bvb6GKt7AXc,"City & State : Salem, TamilNadu 

Exam Date : 22-10-2017",2017-10-31T09:19:02Z,28,5,7068,7
"iON Digital Zone iDZ, Vijayawada",0JMVCnZ1J5Y,,2017-10-31T09:16:25Z,50,14,27522,4
"NPTEL : NOC Exam Feedback :  ION Digital Zone iDZ 1 Moula Ali, Hyderabad Oct 2017",ISAQOYgTl3s,"City & State : Hyderabad, Telangana 

Exam Date : 24-09-2017",2017-10-31T09:17:57Z,40,7,14281,5
